月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
友嘉长兴购物店,8.950954e-05,22296.473,0.00016403859,7.453894e-05,7.566992e-05,6251.21,7.40332e-05,8.226378e-05,8038.7334,6367.361,8844.314,8855.268,大连,北区,东北区,DL-00004,GT-MT,4,0.3333333333333333
友好商场,29836.803,25750.264,28304.865,26206.945,27780.396,20692.244,27774.975,5810.1177,28401.348,-0.00045141764,8.407705e-05,26176.402,阿克苏,西区,西北区,NC-01007,GT-MT,10,0.8333333333333334
友好昊元上品,25403.572,21862.602,24948.393,22663.074,22128.418,17013.31,19126.205,23347.164,6.137827e-05,-0.00045141764,8.407705e-05,8.591547e-05,乌鲁木齐,西区,西北区,WLMQ-00470,GT-MT,8,0.6666666666666666
友好超市天池路店,35878.742,30147.191,34120.562,30794.908,30692.36,6251.21,28734.69,9758.717,6.137827e-05,24433.902,8.407705e-05,8.591547e-05,乌鲁木齐,西区,西北区,XBR-N-02599,GT-MT,8,0.6666666666666666
友好超市长春路店,24290.982,19597.453,7634.4897,21336.963,21475.771,18571.674,19006.588,1114.4946,6.137827e-05,-0.00045141764,8.407705e-05,24383.543,乌鲁木齐,西区,西北区,WLMQ-00065,GT-MT,9,0.75
双鸭山大润发商业有限公司,73526.44,9694.665,26663.168,10711.318,12738.393,14023.153,23494.07,15353.212,10551.281,24433.902,18557.26,32186.73,双鸭山,北区,东北区,RTM-N-00049,大润发,12,1.0
发发店-上海新欧尚超市有限公司广州高德发发店,33402.09,23802.809,48268.715,22465.137,18602.27,24577.75,21011.254,32585.322,35816.5,41779.203,39232.48,35590.426,广州,南区,湖广区,AUC-0049,大润发,12,1.0
句容建设路义台街购物广场,12812.433,9340.83,15371.208,12665.774,7740.057,5787.1,9753.58,4460.116,6196.575,5455.707,4621.543,4739.5625,南京,东区,苏沪区,HRSG-N-00298,苏果,12,1.0
句容都市晴园平价店,17863.088,10492.321,17211.322,21154.787,8760.721,5365.3,10410.147,6893.4863,7928.3853,8682.327,7035.4556,7487.3276,句容,东区,苏沪区,RESEARCH-1772,苏果,12,1.0
台州欧尚超市有限公司台州东海店,99339.805,73138.07,119454.42,66170.0,62696.22,53293.066,88739.06,66621.47,53622.76,78170.66,23861.785,62108.297,台州,东区,浙江区,AUC-0022,大润发,12,1.0
合力湄潭太阳城店,8.950954e-05,6332.988,5855.8765,4055.544,5254.109,6251.21,2790.0881,6182.281,4561.6206,1940.2046,4540.691,2126.6685,遵义,西区,云贵区,YUGR-N-00124,合力,11,0.9166666666666666
合力红果生活超市,6657.9473,7258.761,11992.078,9945.134,5656.244,6251.21,10095.763,9053.419,10454.284,24433.902,23861.785,4071.5972,六盘水,西区,云贵区,GY-00457,合力,12,1.0
合力美的林城阳关店,8.950954e-05,4468.1562,7379.0947,7349.348,4457.8584,6251.21,6040.2036,7822.1924,17419.676,4362.6797,5388.6357,2705.1365,贵阳,西区,云贵区,YUGR-N-00046,合力,11,0.9166666666666666
合力连锁德江店,4999.8315,22296.473,46555.555,5133.7324,5803.7373,6842.9434,3829.732,6407.486,3453.3306,4507.69,4698.199,3042.5945,德江,西区,云贵区,GY-00357,合力,12,1.0
合力连锁瓮安店,7915.161,22296.473,11065.311,8900.391,7095.539,7267.5903,10240.603,10812.309,8104.272,7430.6416,23861.785,3940.4841,黔南州,西区,云贵区,GY-00222,合力,12,1.0
合力连锁花溪店,3754.1477,4868.4443,6500.296,13329.614,2849.5737,3937.6372,5743.1187,5955.4126,5611.0005,3345.7332,3269.5854,1560.6619,贵阳,西区,云贵区,GY-00220,合力,12,1.0
合力铜仁麒龙会展城店,5947.083,5398.7495,11358.823,6222.5483,4239.526,4474.0947,6987.735,8978.996,5962.6978,7149.6396,4556.776,2671.3538,铜仁,西区,云贵区,YGR-N-00814,合力,12,1.0
合川区合川宝龙店,15951.149,47454.207,122545.32,10574.186,9599.442,1311.9938,10463.732,18270.348,13122.81,20081.627,14182.897,12283.796,重庆,西区,重庆区,YH-00121,永辉,12,1.0
合肥万象城OLE店,8.950954e-05,22296.473,0.00016403859,7.453894e-05,7.566992e-05,-0.00064453157,7.40332e-05,11162.184,18456.375,16915.068,23861.785,15852.844,合肥,东区,安徽区,HRSG-N-00006,华润OLE,5,0.4166666666666667
合肥市北城购物中心店,30094.56,64321.473,79869.89,35145.625,17789.566,18520.234,33370.066,37492.74,19301.465,28398.32,28817.527,40521.637,合肥,东区,安徽区,YH-00078,永辉,12,1.0
合肥市黄山路大溪地店,25179.693,47783.984,83829.83,33348.7,13272.166,12270.552,24020.379,24573.549,20839.912,28958.764,23121.951,19620.053,合肥,东区,安徽区,YH-00035,永辉,12,1.0
合肥悦家商业有限公司长江店,18383.11,23662.66,42198.848,13853.495,17919.639,14242.649,8937.024,8.226378e-05,6.137827e-05,-0.00045141764,8.407705e-05,8.591547e-05,合肥,东区,安徽区,CRF-0028,家乐福,7,0.5833333333333334
合肥清溪大润发商业有限公司,36080.766,31072.344,61548.973,36507.45,30831.707,28415.094,43322.848,35776.98,31995.957,46729.8,49583.66,35301.824,合肥,东区,安徽区,RTM-0083,大润发,12,1.0
合肥铜陵北,17744.805,15417.191,19167.135,13685.413,8449.735,6189.147,21011.254,5928.775,17419.676,12549.184,5063.361,5843.929,合肥,东区,安徽区,TES-0154,苏果,12,1.0
